0.024 0.048 0.036 0.028 0.006
0.004 0.02 0.03 0.04 0.026
0.022 0.032 0.034 0.062 0.044
0.042 0.044 0.034 0.018 0.008
0 0 0 0 0
0 0 0 0 0
0 0.002 0.02 0.056 0.052
0.024 0.014 0 0 0
0.002 0.004 0.014 0.022 0.04
0.044 0.04 0.008 0.002 0
0.016 0.028 0.046 0.042 0.026
0.022 0.032 0.028 0.036 0.042
0.018 0.028 0.042 0.054 0.044
0.034 0.044 0.056 0.01 0.008
0 0 0 0 0
0 0 0 0 0
0 0 0.002 0.004 0.014
0.052 0.062 0.056 0.01 0.002
0 0 0.002 0.018 0.034
0.024 0.062 0.028 0.014 0.01
0.006 0.026 0.018 0.04 0.026
0.014 0.01 0.036 0.026 0.034
0.044 0.032 0.04 0.06 0.042
0.052 0.05 0.036 0.01 0.004
0 0 0 0 0
2085 2082 1 3 12.5
2 33.07879 1 4 12.5
3 47.84813 1 3 12.5
2 33.07879 1 5 12.5
4 61.55039 1 3 12.5
2 33.07879 1 2 12.5
1 17.15927 1 5 12.5
4 61.55039 1 5 12.5
4 61.55039 1 6 12.5
5 74.26268 1 4 12.5
3 47.84813 1 3 12.5
2 33.07879 1 3 17.5
2 32.38239 1 6 17.5
5 72.69925 1 4 17.5
3 46.8408 1 5 17.5
4 60.2546 1 3 67.5
2 25.41844 1 6 67.5
5 57.065 1 4 67.5
3 36.76751 1 4 72.5
